#NBK_id	GR_shortname	genesymbol
	fastkd2-coxpd	FASTKD2
	taf8-ndd	TAF8
	usp7-ndd	USP7
NBK1103	trimethylaminuria	FMO3
NBK1104	cdls	BRD4
NBK1104	cdls	HDAC8
NBK1104	cdls	NIPBL
NBK1104	cdls	RAD21
NBK1104	cdls	SMC1A
NBK1104	cdls	SMC3
NBK1105	scan1	TDP1
NBK1106	char	TFAP2B
NBK1107	spg7	SPG7
NBK1108	alps	CASP10
NBK1108	alps	FAS
NBK1108	alps	FASLG
NBK1109	nf1	NF1
NBK1110	cdg-1a	PMM2
NBK1111	hos	TBX5
NBK1112	x-hed	EDA
NBK1112	x-hed	EDAR
NBK1112	x-hed	EDARADD
NBK1112	x-hed	WNT10A
NBK1113	pxe	ABCC6
NBK1114	weill-ms	ADAMTS10
NBK1114	weill-ms	ADAMTS17
NBK1114	weill-ms	FBN1
NBK1114	weill-ms	LTBP2
NBK1115	rapid-odp	ATP1A3
NBK1117	charge	CHD7
NBK1118	ipex	FOXP3
NBK1119	dbmd	DMD
NBK1120	taa	ACTA2
NBK1120	taa	BGN
NBK1120	taa	CBS
NBK1120	taa	COL3A1
NBK1120	taa	COL4A5
NBK1120	taa	EFEMP2
NBK1120	taa	ELN
NBK1120	taa	FBN1
NBK1120	taa	FBN2
NBK1120	taa	FLNA
NBK1120	taa	FOXE3
NBK1120	taa	HCN4
NBK1120	taa	LOX
NBK1120	taa	MAT2A
NBK1120	taa	MFAP5
NBK1120	taa	MYH11
NBK1120	taa	MYLK
NBK1120	taa	NOTCH1
NBK1120	taa	PKD1
NBK1120	taa	PKD2
NBK1120	taa	PRKG1
NBK1120	taa	SKI
NBK1120	taa	SLC2A10
NBK1120	taa	SMAD2
NBK1120	taa	SMAD3
NBK1120	taa	SMAD4
NBK1120	taa	TGFB2
NBK1120	taa	TGFB3
NBK1120	taa	TGFBR1
NBK1120	taa	TGFBR2
NBK1121	hgps	LMNA
NBK1122	pcd	CCDC39
NBK1122	pcd	CCDC40
NBK1122	pcd	CCNO
NBK1122	pcd	CFAP221
NBK1122	pcd	CFAP298
NBK1122	pcd	CFAP300
NBK1122	pcd	CFAP54
NBK1122	pcd	CFAP57
NBK1122	pcd	CFAP74
NBK1122	pcd	CLXN
NBK1122	pcd	DNAAF1
NBK1122	pcd	DNAAF11
NBK1122	pcd	DNAAF19
NBK1122	pcd	DNAAF2
